0,1,2,3
,"Fy 2022-23 
(Turnover rate in current Fy)","Fy 2021-22 
(Turnover rate in previous 
Fy)","Fy 2020-21 
(Turnover rate in the year 
prior to the previous Fy)"
,"Male
Female
Total","Male
Female
Total","Male
Female
Total"
Permanent Employees,"1.64
0
1.64","1.58
0
1.58","1.34
 0
1.34"
Permanent Workers,Not Applicable,,
