0,1,2,3
Parameter,Please specify unit,Fy 2022-23,Fy 2021-22
NOx,tCO2e,0,0
SOx,tCO2e,0,0
Particulate matter (PM),tCO2e,0,0
Persistent organic pollutants (POP),tCO2e,0,0
Volatile organic compounds (VOC),tCO2e,0,0
Hazardous air pollutants (HAP),tCO2e,0,0
Others - please specify,-,-,-
